61j0ooYEa-E;'TINA GUO - COMPOSER'
J_90osqRKi0;'Bentley Bentayga Hybrid SUV Commercial - Music by Tina Guo'
Cfeow04xDIs;'Tina Guo - Black Moon  (Original Composition)'
P_NVV1FO_EQ;'Trap Dubstep Cello - Tina Guo'
fyaCwkuUBwM;'Tina Guo - Winter Star (Original Composition)'
D2bGbH2-62k;'Tina Guo - Sunlight  (Original Composition)'
IknlfHKKwgg;'Tina Guo - Lord of Night (feat. Uyanga) (Original Composition)'
v4MzmDFww10;'Tina Guo - Sanctus  (Original Composition)'
mmKpvp9UjLY;'Tina Guo - The Peace Variations  (Original Composition)'
mwAo6Eb4zzI;'Tina Guo - The Journey Home  (Original Composition)'
Q7SvelgDwRo;'Tina Guo - The Awakening  (Original Composition)'
9kgwIagp5M0;'Tina Guo - Eclipse and Resurrection  (Original Composition)'
50depYmNlsw;'Tina Guo - Unity  (Original Composition)'
YDsSuZZHMFE;'Tina Guo - Letter to You  (Original Composition)'
R4_veQ5MhzY;'Tina Guo - More Than Words (Original Composition)'
Ubu7K7gjYA0;'Tina Guo - The Port  (Original Composition)'
_fwQUiNLIks;'Tina Guo - To Be In Your Arms Again  (Original Composition)'
C_ycejG6SlE;'Tina Guo - Nothingness (Original Composition)'
BxtAgVIukII;'Tina Guo - Winter Starlight (vocal version)  (Original Composition)'
3EPYeYVmNko;'"Turn Table" Movie Opening Sequence Screener: Original Score by Tina Guo'
G09RJ7GFCBc;'Tina Guo - Kiss the Sky (Original Composition)'
hB6SyGPK7Qs;'Tina Guo - Attack  (Original Composition)'
FP1DNzim_PI;'Tina Guo - New Beginnings  (Original Composition)'
mGlUbsjXpx8;'Tina Guo - Lacrimosa  (Original Composition)'
b1g2MyrtAlE;'Tina Guo - Fantasies  (Original Composition)'
hfrV5LPvSdI;'Tina Guo - Could it Be? (Original Composition)'
2YuN-kKsjf4;'Tina Guo - Meditation and Reflection  (Original Composition)'
BFJhDHNtaJw;'Tina Guo - An Italian January  (Original Composition)'
Aqm9dqJQAK0;'Tina Guo - Black Ice Lake  (Original Composition)'
